paper,paper_doi,source,entry_number,reactant1_name,reactant1_smiles,reactant2_name,reactant2_smiles,product_name,product_smiles,product_label,yield_pct,yield_type,conversion_pct,selectivity_pct,ee_pct,stoichiometry,reaction_class,temperature_C,residence_time_s,solvent,reactor_type,catalyst,notes
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 1,1,1-bromo-2-(bromomethyl)benzene,,n-butyllithium,,1-bromo-2-phenethylbenzene,,5,,isolated,,,,,halogen-metal exchange,,,tetrahydrofuran,batch reactor,n-butyllithium,
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 1,4,1-bromo-2-(bromomethyl)benzene,,n-butyllithium,,1-bromo-2-phenethylbenzene,,5,,isolated,,,,,halogen-metal exchange,-100.0,3600.0,tetrahydrofuran,batch reactor,n-butyllithium,Complete lithiation occurs at -100°C resulting in by-product 6 in 31% yield.
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 1,4,1-bromo-2-(bromomethyl)benzene,,n-butyllithium,,"1,2-diphenylethane",,6,31.0,isolated,,,,,C-C coupling,-100.0,3600.0,tetrahydrofuran,batch reactor,n-butyllithium,Complete lithiation occurs at -100°C resulting in by-product 6 in 31% yield.
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 3,1,1-bromo-2-(bromomethyl)benzene,,n-butyllithium,,"10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-one",,3,,GC,,,,,anionic cyclization,-50.0,,tetrahydrofuran,T-Shaped micromixer M1 (0.4 mm; PEEK) connected to microtube reactor R1 (0.5 mL; steel),n-butyllithium,Setup A without gas remover GR. Carboxylation in R2 inefficient at -50°C.
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 3,6,1-bromo-2-(bromomethyl)benzene,,n-butyllithium,,"10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-one",,3,,GC,,,,,anionic cyclization,25.0,,tetrahydrofuran,T-Shaped micromixer M1 (0.4 mm; PEEK) connected to microtube reactor R1 (0.5 mL; steel),n-butyllithium,Setup A without gas remover GR. Yield of ketone 3 improved at room temperature.
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 4,1,"10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-one",,[3-(dimethylamino)propyl]magnesium chloride,,"5-[3-(Dimethylamino)propyl]-10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-ol",,8,,isolated,,,,,nucleophilic addition,25.0,,tetrahydrofuran,"M3 micromixer (0.25 mm channel, steel) connected to R4 reactor tube (PTFE)",,Grignard addition step. Best results with 1.5 equivalents of Grignard reagent.
Kupracz and Kirschning 2013 - Multiple organolithium generation in the continuous flow synthesis of amitriptyline,10.1002/adsc.201300614,Table 4,3,"10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-one",,[3-(dimethylamino)propyl]magnesium chloride,,"5-[3-(Dimethylamino)propyl]-10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-ol",,8,,isolated,,,,,nucleophilic addition,25.0,30.0,tetrahydrofuran,"M3 micromixer (0.25 mm channel, steel) connected to R4 reactor tube (PTFE)",,Grignard addition step. Best results with 1.5 equivalents of Grignard reagent.
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,10.1002/anie.200803205,Table 1,1a,tert-butyl o-bromobenzoate,,sBuLi,,tert-butyl benzoate,,3a,61.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,,tetrahydrofuran,macrobatch reactor,,"Reaction performed using sBuLi in hexane/cyclohexane added dropwise to substrate in THF at -78°C; after 10 min, alcohol electrophile (3.0 equiv) added; yields refer to product 3 from trapping with ROH."
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,10.1002/anie.200803205,Table 1,1b,isopropyl o-bromobenzoate,,sBuLi,,isopropyl benzoate,,3b,,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,,tetrahydrofuran,macrobatch reactor,,"Reaction performed using sBuLi in hexane/cyclohexane added dropwise to substrate in THF at -78°C; after 10 min, alcohol electrophile (3.0 equiv) added; yields refer to product 3 from trapping with ROH."
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,10.1002/anie.200803205,Table 1,1c,ethyl o-bromobenzoate,,sBuLi,,ethyl benzoate,,3c,,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,,tetrahydrofuran,macrobatch reactor,,"Reaction performed using sBuLi in hexane/cyclohexane added dropwise to substrate in THF at -78°C; after 10 min, alcohol electrophile (3.0 equiv) added; yields refer to product 3 from trapping with ROH."
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,10.1002/anie.200803205,Table 1,1d,methyl o-bromobenzoate,,sBuLi,,methyl benzoate,,3d,,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,,tetrahydrofuran,macrobatch reactor,,"Reaction performed using sBuLi in hexane/cyclohexane added dropwise to substrate in THF at -78°C; after 10 min, alcohol electrophile (3.0 equiv) added; yields refer to product 3 from trapping with ROH."
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 1,1,p-bromoanisole,,bromobenzene,,p-methoxybiphenyl,,1,,,,,,,C-C coupling,-78.0,,tetrahydrofuran,macrobatch reactor,Pd(PPh3)4,"Macrobatch reaction: BuLi (2.36 mmol) added dropwise over 1 min to p-bromoanisole (2.20 mmol) in THF at -78°C; after 10 min, Pd catalyst and bromobenzene (1.52 mmol) added; stirred 30 min at 30°C."
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,1,,COc1ccc(Br)cc1,,c1ccccc1Br,,COc1ccc(-c2ccccc2)cc1,,90.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,"Ar1Br = p-bromoanisole; Ar2X = bromobenzene; PEPPSI-SIPr (0.05 equiv); flow rates: Ar1Br (0.314 M in THF, 7.5 mL/min), n-BuLi (1.57 M in n-hexane, 1.5 mL/min), Ar2Br + catalyst (0.523 M in THF, 3.0 mL/min), MeOH quench (5.0 mL/min). Total flow rate = 7.5 + 1.5 + 3.0 + 5.0 = 17.0 mL/min."
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,2,,COc1ccc(Br)cc1,,c1ccccc1Cl,,COc1ccc(-c2ccccc2)cc1,,20.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromoanisole; Ar2X = chlorobenzene; low yield due to slower oxidative addition of aryl chloride.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,3,,COc1ccc(Br)cc1,,c1ccccc1I,,COc1ccc(-c2ccccc2)cc1,,32.0,GC,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromoanisole; Ar2X = iodobenzene; low yield due to competing I-Li exchange.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,4,,COc1ccc(Br)cc1,,c1cc(F)ccc1Br,,COc1ccc(-c2ccc(F)cc2)cc1,,76.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromoanisole; Ar2X = 1-bromo-3-fluorobenzene.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,5,,COc1ccc(Br)cc1,,c1cc(C)ccc1Br,,COc1ccc(-c2ccc(C)cc2)cc1,,64.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromoanisole; Ar2X = 1-bromo-3-methylbenzene.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,6,,COc1ccc(Br)cc1,,c1ccccc1Br,,COc1ccc(-c2ccccc2)cc1,,58.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromoanisole; Ar2X = bromobenzene; lower yield due to use of 1.80 equiv Ar1Br/BuLi instead of 1.50 equiv.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,7,,COc1cc(Br)cc1,,c1ccccc1Br,,COc1cc(-c2ccccc2)cc1,,78.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = m-bromoanisole; Ar2X = bromobenzene.
