paper,yield_pct,reaction_class,solvent,reactor_type,paper_doi,paper_year,tR_step,tR1_s,tR2_s,T1_C,T2_C,substrate1,organolithium_reagent,intermediate,substrate2_electrophile,electrophile_type,product_final,conc_substrate_M,conc_orgLi_M,equiv_orgLi,conc_electrophile_M,substrate1_smiles,organolithium_smiles,intermediate_smiles,substrate2_smiles,product_smiles,vlm_tR1_s_original,vlm_tR2_s_original,yield_yolo,data_note
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,30.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.01,,30.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,51.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.0316,,51.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,60.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.1,,60.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,37.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.316,,37.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,15.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,1.0,,15.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,3.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,3.16,,3.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,10.0,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,31.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.01,,31.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,38.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.0316,,38.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,62.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.1,,62.0,
