paper,yield_pct,reaction_class,solvent,reactor_type,paper_doi,paper_year,tR_step,tR1_s,tR2_s,T1_C,T2_C,substrate1,organolithium_reagent,intermediate,substrate2_electrophile,electrophile_type,product_final,conc_substrate_M,conc_orgLi_M,equiv_orgLi,conc_electrophile_M,substrate1_smiles,organolithium_smiles,intermediate_smiles,substrate2_smiles,product_smiles
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,30,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,51,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,60,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,37,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,15,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,3,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,31,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,38,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,62,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,74,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,71,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
