intermediate_smiles,conjugate_acid_smiles,intermediate_class,Ea_kJ_mol
[Li]Cc1ccc(C(=O)CC)cc1,[H]Cc1ccc(C(=O)CC)cc1,benzylLi,2.55
[Li]c1ccc(C#N)cc1,[H]c1ccc(C#N)cc1,ArLi,4.55
[Li]c1cccc(C#N)c1,[H]c1cccc(C#N)c1,ArLi,10.43
[Li]CCOC1CCCCC1,[H]CCOC1CCCCC1,alkylLi,
[Li]CCOC,[H]CCOC,alkylLi,
[Li]CCCCCCC1CO1,[H]CCCCCCC1CO1,oxiranylLi,
[Li]CCCC1CO1,[H]CCCC1CO1,oxiranylLi,21.0
[Li]CCCCCC1CO1,[H]CCCCCC1CO1,oxiranylLi,
[Li]c1ccccc1C#N,[H]c1ccccc1C#N,ArLi,
[Li]Cc1ccc(C=O)cc1,[H]Cc1ccc(C=O)cc1,benzylLi,24.17
[Li]CCCCC1CO1,[H]CCCCC1CO1,oxiranylLi,
[Li]c1ccccc1C(=O)OC(C)(C)C,[H]c1ccccc1C(=O)OC(C)(C)C,ArLi,28.14
[Li]c1ccc([N+](=O)[O-])cc1,[H]c1ccc([N+](=O)[O-])cc1,ArLi,28.95
[Li]CCC[Si](C)(C)C,[H]CCC[Si](C)(C)C,alkylLi,
[Li]C(F)I,[H]C(F)I,carbenoid,30.82
[Li]CCCC=C,[H]CCCC=C,alkylLi,
[Li]c1ccnc(Br)c1Br,[H]c1ccnc(Br)c1Br,ArLi,32.7
[Li]c1cc(-c2ccccc2)sc1C,[H]c1cc(-c2ccccc2)sc1C,ArLi,33.26
[Li]c1cccc(C(=O)OC(C)C)c1,[H]c1cccc(C(=O)OC(C)C)c1,ArLi,34.73
[Li]c1cc(Br)cc(Br)c1,[H]c1cc(Br)cc(Br)c1,ArLi,
[Li]c1ccccc1[N+](=O)[O-],[H]c1ccccc1[N+](=O)[O-],ArLi,
[Li]/C=C/c1ccccc1,[H]/C=C/c1ccccc1,vinylLi,
[Li]c1ccc(C(=O)OCC)cc1,[H]c1ccc(C(=O)OCC)cc1,ArLi,37.13
[Li]c1cccnc1,[H]c1cccnc1,ArLi,
[Li]c1ccc(C(=O)OC(C)C)cc1,[H]c1ccc(C(=O)OC(C)C)cc1,ArLi,37.58
[Li]c1ccccc1OC,[H]c1ccccc1OC,ArLi,
[Li]c1ccc(Br)cc1,[H]c1ccc(Br)cc1,ArLi,
[Li]c1c(C)oc2ccccc12,[H]c1c(C)oc2ccccc12,ArLi,38.18
[Li]c1cccc(Br)c1,[H]c1cccc(Br)c1,ArLi,
[Li]c1cccc(C(=O)OCC)c1,[H]c1cccc(C(=O)OCC)c1,ArLi,38.29
[Li]c1ccc(Cl)cc1,[H]c1ccc(Cl)cc1,ArLi,
[Li]c1ccc(F)cc1,[H]c1ccc(F)cc1,ArLi,
[Li]c1ccc(C(F)(F)F)cc1,[H]c1ccc(C(F)(F)F)cc1,ArLi,
[Li]c1cccc(Cl)c1,[H]c1cccc(Cl)c1,ArLi,
[Li]c1ccc(-c2ccc(Br)cc2)cc1,[H]c1ccc(-c2ccc(Br)cc2)cc1,ArLi,
[Li]c1ccccc1C(=O)OC,[H]c1ccccc1C(=O)OC,ArLi,39.61
[Li]c1ccc(C(F)(F)F)cc1C,[H]c1ccc(C(F)(F)F)cc1C,ArLi,
[Li]c1ccc(OC)cc1,[H]c1ccc(OC)cc1,ArLi,
[Li]c1cccc(C(=O)OC)c1,[H]c1cccc(C(=O)OC)c1,ArLi,40.02
[Li]c1ccccc1C(=O)OC(C)C,[H]c1ccccc1C(=O)OC(C)C,ArLi,40.71
[Li]c1cccc(C(=O)OC(C)(C)C)c1,[H]c1cccc(C(=O)OC(C)(C)C)c1,ArLi,40.85
[Li]c1ccc(C(=O)OC)cc1,[H]c1ccc(C(=O)OC)cc1,ArLi,41.55
[Li]c1ccc2c(ccn2C)c1,[H]c1ccc2c(ccn2C)c1,ArLi,
[Li]c1cc(C)cc(C)c1,[H]c1cc(C)cc(C)c1,ArLi,
[Li]c1c(C)sc(-c2ccccc2)c1C,[H]c1c(C)sc(-c2ccccc2)c1C,ArLi,
