intermediate,smi,Ea_f,lnA_f,Ea_d,lnA_d,y_max,r2_global,n_points,n_temps
p-propanoylbenzyllithium,[Li]Cc1ccc(C(=O)CC)cc1,18.03,27.86,4.42,-1.25,67.7,0.8591,25,5
2-pyridyllithium,[Li]c1ccccn1,18.99,11.66,19.73,7.02,76.5,0.8002,17,5
p-formylbenzyllithium,[Li]Cc1ccc(C=O)cc1,0.12,9.76,20.3,7.27,51.9,0.6114,25,5
m-cyanophenyllithium,[Li]c1cccc(C#N)c1,34.69,22.11,27.3,9.08,83.1,0.9661,36,6
p-cyanophenyllithium,[Li]c1ccc(C#N)cc1,35.78,22.52,28.83,9.88,85.1,0.9036,36,6
3-(oxiran-2-yl)propyllithium,[Li]CCCC1CO1,22.0,19.22,30.33,13.01,61.5,0.8412,61,5
"monolithiated 4,4'-dibromobiphenyl",[Li]c1ccc(-c2ccc(Br)cc2)cc1,20.33,13.97,38.0,9.33,87.7,0.9497,16,4
fluoroiodomethyllithium,[Li]C(F)I,7.22,8.91,38.85,19.33,93.5,0.9302,20,4
tert-butyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)(C)C,17.19,13.65,39.58,15.04,89.1,0.6491,76,6
methyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC)c1,32.61,25.47,44.9,24.42,70.5,0.9354,30,5
methyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC)cc1,9.13,40.9,45.57,24.73,71.2,0.9617,30,5
methyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC,67.31,44.84,47.47,24.11,57.4,0.8473,71,5
isopropyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)C,22.78,17.14,47.89,21.9,79.1,0.7694,65,5
2-bromo-2'-lithiobiphenyl,[Li]c1ccccc1-c1ccccc1Br,23.79,15.75,48.86,15.81,86.7,0.9737,16,4
ethyl m-lithiobenzoate,[Li]c1cccc(C(=O)OCC)c1,37.14,28.03,49.37,25.89,77.0,0.9626,30,5
ethyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OCC,26.94,19.67,50.8,24.65,72.1,0.7779,66,5
m-nitrophenyllithium,[Li]c1cccc([N+](=O)[O-])c1,25.78,19.21,51.61,21.78,80.9,0.7537,30,5
isopropyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)C)cc1,31.95,24.97,52.82,26.48,56.7,0.4449,60,5
ethyl p-lithiobenzoate,[Li]c1ccc(C(=O)OCC)cc1,48.97,34.87,52.87,27.68,83.5,0.9607,30,5
2-iodophenyllithium,[Li]c1ccccc1I,72.07,50.0,54.86,33.3,82.3,0.9847,32,4
2-methylbenzofuran-3-yllithium,[Li]c1c(C)oc2ccccc12,32.9,19.04,56.76,24.95,85.8,0.8789,72,4
isopropyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)C)c1,38.35,28.55,57.72,29.12,63.1,0.7043,60,5
aryllithium,[Li]c1ccc([N+](=O)[O-])cc1,22.89,17.53,58.15,24.5,81.3,0.6203,30,5
tert-butyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)(C)C)c1,17.67,14.99,59.02,24.47,87.5,0.732,66,6
o-cyanophenyllithium,[Li]c1ccccc1C#N,34.67,22.0,60.1,21.22,85.9,0.9389,36,6
lithium oxiranyl anion,[Li]C1(c2ccc(Cl)cc2)CO1,20.25,13.39,60.69,31.1,85.1,0.9841,35,5
lithiated 2-(2-naphthyl)ethylene oxide,[Li]C1(c2ccc3ccccc3c2)CO1,39.23,23.7,61.34,31.71,87.2,0.9766,35,5
lithium 4-methylstyrene oxide,[Li]C1(c2ccc(C)cc2)CO1,29.5,16.58,61.42,33.18,73.6,0.9782,35,5
lithium oxiranyl anion,[Li]C1OC1c1ccccc1,27.35,15.79,65.97,33.96,77.7,0.9477,105,5
lithiated 1-tert-butylsulfonyl-2-phenylaziridine,[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,28.3,15.12,67.54,29.48,83.9,0.9559,24,4
m-bromophenyllithium,[Li]c1cccc(Br)c1,41.42,26.0,69.13,-0.19,82.4,0.8533,42,6
oxiranyllithium,[Li]C1(C)OC1c1ccccc1,39.88,22.59,70.91,30.35,73.0,0.4381,95,9
"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,18.26,13.68,75.78,30.66,92.5,0.9932,24,4
lithium carbenoid,[Li]CSCc1ccccc1,8.73,11.74,77.14,35.52,90.1,0.9531,21,5
p-Anisyllithium,[Li]c1ccc(OC)cc1,16.86,10.45,79.58,26.74,86.4,0.944,54,9
o-bromophenyllithium,[Li]c1ccccc1Br,41.25,26.42,85.46,50.0,75.5,0.7959,60,6
tert-butyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)(C)C)cc1,13.59,12.75,87.73,36.68,87.2,0.6375,66,6
3-lithio-2-methylbenzothiophene,[Li]c1c(C)sc2ccccc12,0.22,7.77,88.7,37.82,61.0,0.4896,85,4
oxiranyllithium intermediate,[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,33.99,17.01,93.21,34.93,75.6,0.608,55,4
"2,3-dibromo-4-lithiopyridine",[Li]c1ccnc(Br)c1Br,12.06,29.78,94.8,38.68,84.9,0.9063,30,5
4-lithio-5-methyl-2-phenylthiazole,[Li]c1nc(-c2ccccc2)sc1C,35.82,19.58,96.71,6.63,95.0,0.8456,36,4
aryllithium,[Li]c1ccccc1[N+](=O)[O-],26.13,19.09,117.79,50.0,85.2,0.5759,30,5
1-triphenylsilyloxiranyllithium,[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,52.75,25.6,129.16,50.0,77.0,0.666,36,4
"3-lithio-2,4-dimethyl-5-phenylthiophene",[Li]c1c(C)sc(-c2ccccc2)c1C,27.09,15.84,132.33,0.17,82.0,0.8973,36,4
p-bromophenyllithium,[Li]c1ccc(Br)cc1,55.21,33.45,149.25,-9.65,84.5,0.9005,42,6
