intermediate,intermediate_smiles_canonical,intermediate_class,paper_source,n_datapoints,n_papers,n_temperatures,T_min_C,T_max_C,tR_min_s,tR_max_s,yield_min,yield_max,yield_mean,data_type,n_kd_clean,n_scope,has_tR2,sufficient_for_arrhenius,has_arrhenius,quality_tier,Ea_kJ_mol,ln_A,arrhenius_r2,n_T_arrhenius,T_range_arrhenius,t_half_m78C_s,t_half_m40C_s,t_half_0C_s,t_half_25C_s,Ea_pred_kJ_mol,lnA_pred,t_half_m40C_pred_s,sigma_hammett,Es_taft,delta_ortho,delta_benzyne,dft_charge_Li,dft_charge_C_ipso,dft_HOMO_eV,dft_LUMO_eV,HOMO_LUMO_gap_eV,dft_LiC_bond_A,dft_LiC_BDE_kJ,dft_dipole_D,dft_Gsolv_kJ,sterimol_B1,sterimol_B5,sterimol_L,buried_vol_Li,mol_volume,fukui_f_minus_C
p-propanoylbenzyllithium,[Li]Cc1ccc(C(=O)CC)cc1,benzylLi,Benzyl 2015 Table S-2,25,1,5.0,-78.0,0.0,0.00131,20.9,27.0,80.0,60.7,kinetic,25,0,False,True,True,tier2_low_r2,2.55,-2.1714,0.7368,5.0,-78 to 0,29.22,22.63,18.66,16.99,14.42,6.2077,2.3747,,0.0,0.0,0.0,0.4906,-0.253,-8.918000000000001,-6.812,2.1060000000000008,1.9742,361.2000000000001,7.335,-83.09,1.82,9.8095,4.1942,0.3144,187.87,-0.0572
p-cyanophenyllithium,[Li]c1ccc(C#N)cc1,ArLi,"Cyano 2010 Table 2, Table S-4; Homocoupling 2011 Table 1",41,2,6.0,-78.0,20.0,0.01,6.300000000000001,2.0,93.0,70.9,kinetic,36,4,False,True,True,tier2_2pt,4.55,-0.3908,1.0,2.0,0 to 20,16.92,10.71,7.597,6.422,37.87,18.362,2.2437,0.66,0.0,0.0,0.0,0.4272,-0.2239,-9.157,-6.49,2.667,1.9132,419.1,10.704,-75.28,1.82,3.2413,4.1332,0.2292,135.64,-0.1141
m-cyanophenyllithium,[Li]c1cccc(C#N)c1,ArLi,"Cyano 2010 Table 2, Table S-3; Homocoupling 2011 Table 1",41,2,6.0,-78.0,20.0,0.01,6.300000000000001,3.0,96.0,70.0,kinetic,36,4,False,True,True,tier2_2pt,10.43,1.8501,1.0,2.0,0 to 20,67.59,23.7,10.78,7.331,37.7,18.2034,2.4086,0.56,0.0,0.0,0.0,0.4289,-0.2284,-9.14,-6.505,2.6350000000000007,1.9116,418.4,9.332,-74.72,1.82,4.9551,4.1316,0.2296,135.4,-0.1166
functional alkyllithiums,[Li]CCOC1CCCCC1,alkylLi,Func 2019 Table S3,1,1,1.0,-78.0,-78.0,1.31,1.31,61.0,61.0,61.0,other,0,0,False,False,False,,,,,,,,,,,12.52,4.4853,4.9883,,0.0,0.0,0.0,0.4231,-0.3001,-7.876,-4.619,3.257000000000001,1.9604,475.0,4.264,-56.14,1.82,6.6636,7.1562,0.3642,178.26,-0.0844
functional alkyllithiums,[Li]CCOC,alkylLi,Func 2019 Table S3,1,1,1.0,-78.0,-78.0,0.78,0.78,68.0,68.0,68.0,other,0,0,False,False,False,,,,,,,,,,,19.3,7.8624,5.6277,,0.0,0.0,0.0,0.4112,-0.3062,-8.408,-5.487,2.9209999999999994,1.9243,388.2000000000001,5.768,-58.53,1.82,4.5437,4.1443,0.214,104.94,-0.1047
primary alkyllithiums bearing an epoxide group,[Li]CCCCCCC1CO1,oxiranylLi,Alkyl 2019 Table S2,1,1,1.0,-60.0,-60.0,6.9,6.9,78.0,78.0,78.0,other,0,0,False,False,False,,,,,,,,,,,19.98,8.3924,4.7044,,0.0,0.0,0.0,0.3901,-0.2943,-8.118,-5.25,2.8680000000000003,1.928,371.9,6.096,-72.14,1.82,8.1226,4.148,0.213,182.52,-0.0866
3-(oxiran-2-yl)propyllithium,[Li]CCCC1CO1,oxiranylLi,"Alkyl 2019 Table S1; Func 2019 Table S1, Table S2",61,2,5.0,-78.0,0.0,0.002,15.7,1.0,79.0,50.0,other,0,0,False,True,True,tier1,21.0,8.4569,0.9771,5.0,-78 to 0,61.62,7.473,1.529,0.7041,21.53,9.1414,4.9487,,0.0,0.0,0.0,0.4016,-0.2957,-8.205,-5.349,2.856,1.9226,375.2000000000001,4.117,-60.35,1.82,5.095,4.1426,0.2258,131.66,-0.1009
primary alkyllithiums bearing an epoxide group,[Li]CCCCCC1CO1,oxiranylLi,Alkyl 2019 Table S2; Func 2019 Table S2,2,2,1.0,-60.0,-60.0,6.9,6.9,78.0,83.0,80.5,other,0,0,False,False,False,,,,,,,,,,,22.9,9.86,4.8905,,0.0,0.0,0.0,0.3861,-0.2933,-7.911,-5.075,2.8359999999999994,1.9195,369.4,4.168,-68.15,1.82,7.3346,4.1395,0.2176,165.44,-0.0941
o-cyanophenyllithium,[Li]c1ccccc1C#N,ArLi,"Cyano 2010 Table 2, Table 3, Table S-2; Homocoupling 2011 Table 1",48,2,7.0,-78.0,24.0,0.01,6.300000000000001,6.0,97.0,74.6,kinetic,36,11,True,True,False,,,,,,,,,,,23.79,11.3937,1.6699,0.66,0.0,0.0,0.0,0.4438,-0.2137,-9.263,-6.8180000000000005,2.4449999999999994,1.9765,476.6,2.068,-57.29,1.82,4.2567,4.1965,0.3422,134.86,-0.1154
p-formylbenzyllithium,[Li]Cc1ccc(C=O)cc1,benzylLi,Benzyl 2015 Table S-3,25,1,5.0,-78.0,0.0,0.00131,20.9,14.0,68.0,45.4,kinetic,25,0,False,True,True,tier2_low_r2,24.17,10.1278,0.6276,5.0,-78 to 0,81.72,7.208,1.161,0.4756,13.49,5.7951,2.2204,,0.0,0.0,0.0,0.5015000000000001,-0.2499,-9.094,-7.034,2.0599999999999996,1.9785,363.5,8.455,-78.10000000000001,1.82,7.8537,4.1985,0.3163,154.14,-0.0616
