name,smiles,solvent,Ea,lnA,r2,n_T,T_range,tier,t78,t40,t0,t25
MeLi,[Li]C,Et2O,53.03474005582806,5.1620980044832185,1.0,2,25 to 75,tier2_2pt,623678787435.4124,3028461292.2768545,55104434.89236273,7775999.9999999385
PhLi,[Li]c1ccccc1,Et2O,58.38276660835057,8.570166378430185,1.0,2,35 to 50,tier2_2pt,557675864729.425,1582432964.4292412,19223150.208301492,2226572.356752124
n-BuLi,[Li]CCCC,DME,91.35249435809034,34.15592096239127,1.0,2,-20 to 0,tier2_2pt,2882434925.239648,298083.1532770019,300.0000000000037,10.286143573925182
n-BuLi,[Li]CCCC,Et2O,79.93304324585063,19.210779261247268,1.0,2,20 to 35,tier2_2pt,7828257761301.015,2549398831.099558,6079759.509410113,317784.38601488486
n-BuLi,[Li]CCCC,THF,91.98680462135366,28.898364342802093,0.97731801627129,3,0 to 35,tier1,818230243056.9977,79392684.29738279,76164.57093432933,2551.014597678563
n-BuLi,[Li]CCCC,THF+TMEDA,70.90683992902218,21.17071983797433,0.9982161393963083,3,-20 to 20,tier1,4230544965.6697497,3411566.5630323715,16089.640951795895,1173.62886446581
s-BuLi,[Li]C(C)CC,DME,53.743432435896835,22.5715319304837,1.0,2,-70 to -40,tier2_2pt,26536.16824690237,120.00000000000094,2.0696363038857766,0.2845113567415481
s-BuLi,[Li]C(C)CC,Et2O,62.1699002634034,17.987822860997586,1.0,2,-20 to 0,tier2_2pt,467801663.9967455,907370.177408435,8280.000000000075,833.9012008918712
t-BuLi,[Li]C(C)(C)C,DME,22.376967185613694,6.38998116791086,1.0,2,-70 to -40,tier2_2pt,1136.1036682525973,120.0000000000002,22.13132647117132,9.686905836519994
t-BuLi,[Li]C(C)(C)C,Et2O,53.623194926942574,14.911069323937015,0.9947221921207154,3,-20 to 20,tier1,52305869.93545349,239408.21464332586,4166.743345793916,575.3476892526322
t-BuLi,[Li]C(C)(C)C,THF,52.217044252704625,16.660124174020066,1.0,2,-40 to -20,tier2_2pt,3824335.4298599996,20160.000000000047,390.19627877342185,56.7498680055745
