name,smiles,solvent,T_C,t_half_s,original,T_K,kd,ln_kd
MeLi,[Li]C,Et2O,25,7776000.0,3 mo,298.15,8.91392979115156e-08,-16.233065545704076
MeLi,[Li]C,Et2O,75,360000.0,100 h,348.15,1.925408834888737e-06,-13.160372231013957
MeLi,[Li]C,THF,50,360000.0,100 h,323.15,1.925408834888737e-06,-13.160372231013957
MeLi,[Li]C,DME,25,360000.0,100 h,298.15,1.925408834888737e-06,-13.160372231013957
PhLi,[Li]c1ccccc1,Et2O,35,1036800.0,12 d,308.15,6.685447343363669e-07,-14.218162525161812
PhLi,[Li]c1ccccc1,Et2O,50,360000.0,100 h,323.15,1.925408834888737e-06,-13.160372231013957
PhLi,[Li]c1ccccc1,THF,25,360000.0,100 h,298.15,1.925408834888737e-06,-13.160372231013957
PhLi,[Li]c1ccccc1,DME,0,360000.0,100 h,273.15,1.925408834888737e-06,-13.160372231013957
n-BuLi,[Li]CCCC,Et2O+TMEDA,20,36000.0,10 h,293.15,1.925408834888737e-05,-10.857787138019912
n-BuLi,[Li]CCCC,Et2O,20,550800.0,153 h,293.15,1.2584371469861026e-06,-13.5856399664183
n-BuLi,[Li]CCCC,Et2O,35,111600.0,31 h,308.15,6.210996241576571e-06,-11.989189249511012
n-BuLi,[Li]CCCC,iPr2O,25,1555200.0,18 d,298.15,4.4569648955757796e-07,-14.623627633269976
n-BuLi,[Li]CCCC,DME,0,300.0,<5 min,273.15,0.0023104906018664843,-6.070295395237865
n-BuLi,[Li]CCCC,DME,-20,7200.0,2 h,253.14999999999998,9.627044174443685e-05,-9.24834922558581
n-BuLi,[Li]CCCC,THF,35,600.0,10 min,308.15,0.0011552453009332421,-6.763442575797811
n-BuLi,[Li]CCCC,THF,20,7200.0,2 h,293.15,9.627044174443685e-05,-9.24834922558581
n-BuLi,[Li]CCCC,THF+TMEDA,20,1800.0,30 min,293.15,0.0003850817669777474,-7.862054864465921
n-BuLi,[Li]CCCC,THF,0,64800.0,18 h,273.15,1.0696715749381871e-05,-11.44557380292203
n-BuLi,[Li]CCCC,THF+TMEDA,0,18000.0,5 h,273.15,3.850817669777474e-05,-10.164639957459967
n-BuLi,[Li]CCCC,THF+TMEDA,-20,180000.0,50 h,253.14999999999998,3.850817669777474e-06,-12.467225050454012
s-BuLi,[Li]C(C)CC,DME,-70,7200.0,2 h,203.14999999999998,9.627044174443685e-05,-9.24834922558581
s-BuLi,[Li]C(C)CC,DME,-40,120.0,2 min,233.14999999999998,0.0057762265046662105,-5.15400466336371
s-BuLi,[Li]C(C)CC,THF,-20,4680.0,1.3 h,253.14999999999998,0.0001481083719145182,-8.817566309493357
s-BuLi,[Li]C(C)CC,THF+TMEDA,-20,1800.0,30 min,253.14999999999998,0.0003850817669777474,-7.862054864465921
s-BuLi,[Li]C(C)CC,Et2O,0,8280.0,2.3 h,273.15,8.371342760385813e-05,-9.38811116796097
s-BuLi,[Li]C(C)CC,Et2O,-20,72000.0,20 h,253.14999999999998,9.627044174443684e-06,-11.550934318579857
t-BuLi,[Li]C(C)(C)C,DME,-70,660.0,11 min,203.14999999999998,0.001050223000848402,-6.8587527556021355
t-BuLi,[Li]C(C)(C)C,DME,-40,120.0,<2 min,233.14999999999998,0.0057762265046662105,-5.15400466336371
t-BuLi,[Li]C(C)(C)C,Et2O,20,900.0,15 min,293.15,0.0007701635339554948,-7.168907683905975
t-BuLi,[Li]C(C)(C)C,Et2O,0,3600.0,1 h,273.15,0.0001925408834888737,-8.555202045025865
t-BuLi,[Li]C(C)(C)C,Et2O,-20,28800.0,8 h,253.14999999999998,2.406761043610921e-05,-10.634643586705701
t-BuLi,[Li]C(C)(C)C,THF,-20,2400.0,40 min,253.14999999999998,0.00028881132523331054,-8.149736936917702
t-BuLi,[Li]C(C)(C)C,THF,-40,20160.0,5.6 h,233.14999999999998,3.438230062301316e-05,-10.27796864276697
