arli_smiles,arx_smiles,n_reactions,n_cryo,mean_yield,ref_temp_C,stability_label,n_heavy_atoms,HeavyAtomCount,Li_C_degree,Li_C_ewg_neighbors,Li_C_hybridization_sp2,Li_C_hybridization_sp3,Li_C_is_aromatic,Li_neighbor_count,MW,MolLogP,NumAliphaticRings,NumAromaticAtoms,NumAromaticRings,NumBr,NumF,NumHalogens,NumHeteroatoms,NumI,NumLi,NumN,NumO,NumRotatableBonds,TPSA,has_epoxide,has_ester,has_nitrile
[Li]c1ccsc1S(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)c1sccc1Br,2,2,70.5,-78.0,batch_moderate,14,14,3,0,1,0,1,1,225.26399999999998,0.6187,0,5,1,0,0,0,6,0,1,1,2,2,46.17,0,0,0
[Li]c1cnc(OCCOc2ncnc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2-c2ccc(C)cc2)nc1,Cc1ccc(-c2c(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)ncnc2OCCOc2ncc(Br)cn2)cc1,2,2,30.4,-78.0,batch_moderate,38,38,3,0,1,0,1,1,525.5600000000003,3.591920000000002,0,24,4,0,0,0,11,0,1,5,4,9,116.18999999999998,0,0,0
[Li]c1ccc2c(c1)C(=O)CCC2(C)C,CC1(C)CCC(=O)c2cc(Br)ccc21,4,0,62.3,0.0,batch_moderate,14,14,3,0,1,0,1,1,180.17599999999996,1.7345,1,6,1,0,0,0,2,0,1,0,1,0,17.07,0,0,0
[Li]Cc1ccccc1C=C,C=Cc1ccccc1CI,3,3,43.5,-78.0,batch_moderate,10,10,2,0,0,1,0,1,124.11199999999998,1.9981,0,6,1,0,0,0,1,0,1,0,0,2,0.0,0,0,0
[Li]c1cnc2ccccc2c1,Brc1cnc2ccccc2c1,7,1,41.0,-78.0,batch_moderate,11,11,3,0,1,0,1,1,135.09499999999997,1.0286,0,10,2,0,0,0,2,0,1,1,0,0,12.89,0,0,0
[Li]c1cnc(Cl)c(Cl)c1,Clc1cc(I)cnc1Cl,1,0,54.3,-20.0,batch_moderate,9,9,3,0,1,0,1,1,153.925,1.1822000000000001,0,6,1,0,0,2,4,0,1,1,0,0,12.89,0,0,0
[Li]c1cncnc1,Brc1cncnc1,12,1,40.9,-78.0,batch_moderate,7,7,3,0,1,0,1,1,86.02299999999998,-0.7296,0,6,1,0,0,0,3,0,1,2,0,0,25.78,0,0,0
[Li]c1ccc(F)nc1,Fc1ccc(I)cn1,24,13,56.99230769230768,-78.0,batch_moderate,8,8,3,0,1,0,1,1,103.025,0.014500000000000068,0,6,1,0,1,1,3,0,1,1,0,0,12.89,0,0,0
[Li]c1cncc(OCc2ccccc2)c1,Brc1cncc(OCc2ccccc2)c1,1,1,21.7,-78.0,batch_unstable,15,15,3,0,1,0,1,1,191.15900000000002,1.4544,0,12,2,0,0,0,3,0,1,1,1,3,22.12,0,0,0
[Li]c1cncc(Br)c1,Brc1cncc(Br)c1,9,6,56.416666666666664,-67.66666666666667,batch_moderate,8,8,3,0,1,0,1,1,163.93099999999998,0.6379000000000001,0,6,1,1,0,1,3,0,1,1,0,0,12.89,0,0,0
