intermediate,intermediate_smiles,T_C,T_K,n_points,model,k_f,k_d,t_half_s,t_peak_s,y_max_pct,fit_r2,paper
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],-78.0,195.14999999999998,8,competing,185.291,0.0139324,49.7509,0.05125,83.2,0.7257,three-component-coupling-based-on-flash-chemistry-
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],-70.0,203.14999999999998,8,competing,186.335,0.0717853,9.65583,0.042207,90.2,0.8913,three-component-coupling-based-on-flash-chemistry-
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],-60.0,213.14999999999998,8,competing,148.184,0.821625,0.84363,0.0352528,96.6,0.9444,three-component-coupling-based-on-flash-chemistry-
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],-50.0,223.14999999999998,8,competing,252.449,1.76667,0.392348,0.0197944,83.2,0.9616,three-component-coupling-based-on-flash-chemistry-
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,-78.0,195.14999999999998,72,formation_only,185.984,,,,66.1,0.0138,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,-60.0,213.14999999999998,72,competing,359.111,0.0755573,9.17379,0.0235812,76.4,0.1369,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,-50.0,223.14999999999998,72,competing,4404.07,0.120479,5.75327,0.00238571,74.1,0.1842,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,-30.0,243.14999999999998,70,competing,165921,0.165911,4.17782,8.3266e-05,61.4,0.0761,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,0.0,273.15,66,competing,1861.09,0.234915,2.95063,0.00482437,38.5,0.0719,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,20.0,293.15,12,competing,2534.66,1.23256,0.562362,0.00301122,76.4,0.9132,Nagaki et al. 2010 - A flow microreactor system en
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],-78.0,195.14999999999998,6,formation_only,86.8673,,,,67.2,0.2165,Nagaki et al. 2008 - Aryllithium compounds bearing
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],-60.0,213.14999999999998,6,formation_only,58.0623,,,,92.4,0.8625,Nagaki et al. 2008 - Aryllithium compounds bearing
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],-50.0,223.14999999999998,6,formation_only,84.4437,,,,96.0,0.9631,Nagaki et al. 2008 - Aryllithium compounds bearing
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],-30.0,243.14999999999998,6,competing,106.178,0.0211256,32.8108,0.0802811,99.1,0.9973,Nagaki et al. 2008 - Aryllithium compounds bearing
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],0.0,273.15,6,competing,438.867,0.137735,5.03247,0.0183863,93.4,0.9994,Nagaki et al. 2008 - Aryllithium compounds bearing
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],20.0,293.15,6,competing,123102,0.185481,3.73702,0.000108898,78.1,0.9525,Nagaki et al. 2008 - Aryllithium compounds bearing
isopropyl o-(lithio)benzoate,CC(C)OC(=O)c1ccccc1[Li],-78.0,195.14999999999998,6,formation_only,132.022,,,,58.9,0.0872,Nagaki et al. 2008 - Aryllithium compounds bearing
isopropyl o-(lithio)benzoate,CC(C)OC(=O)c1ccccc1[Li],-60.0,213.14999999999998,6,competing,84.0361,0.023677,29.2751,0.0973011,83.3,0.7764,Nagaki et al. 2008 - Aryllithium compounds bearing
isopropyl o-(lithio)benzoate,CC(C)OC(=O)c1ccccc1[Li],-50.0,223.14999999999998,6,competing,102.859,0.0400372,17.3126,0.0763602,85.5,0.9455,Nagaki et al. 2008 - Aryllithium compounds bearing
isopropyl o-(lithio)benzoate,CC(C)OC(=O)c1ccccc1[Li],-30.0,243.14999999999998,6,competing,66779.7,0.27715,2.50098,0.000185571,87.3,0.9973,Nagaki et al. 2008 - Aryllithium compounds bearing
isopropyl o-(lithio)benzoate,CC(C)OC(=O)c1ccccc1[Li],0.0,273.15,6,competing,2259.43,2.29031,0.302644,0.00305439,79.8,0.9474,Nagaki et al. 2008 - Aryllithium compounds bearing
ethyl o-(lithio)benzoate,CCOC(=O)c1ccccc1[Li],-78.0,195.14999999999998,6,formation_only,55.32,,,,55.6,0.6713,Nagaki et al. 2008 - Aryllithium compounds bearing
ethyl o-(lithio)benzoate,CCOC(=O)c1ccccc1[Li],-60.0,213.14999999999998,6,competing,85.9922,0.0536789,12.9128,0.0858636,83.0,0.9251,Nagaki et al. 2008 - Aryllithium compounds bearing
ethyl o-(lithio)benzoate,CCOC(=O)c1ccccc1[Li],-50.0,223.14999999999998,6,competing,99.8799,0.129292,5.3611,0.0666628,87.4,0.9820,Nagaki et al. 2008 - Aryllithium compounds bearing
ethyl o-(lithio)benzoate,CCOC(=O)c1ccccc1[Li],-30.0,243.14999999999998,6,competing,5163.38,0.982254,0.70567,0.00165955,74.6,0.9065,Nagaki et al. 2008 - Aryllithium compounds bearing
