intermediate,smiles,Ea_decomp_kJ_mol,MW,HeavyAtomCount,NumRotatableBonds,TPSA,MolLogP,NumAromaticRings,NumAliphaticRings,NumAromaticAtoms,NumHeteroatoms,NumN,NumO,NumHalogens,NumF,NumBr,NumI,NumLi,Li_neighbor_count,Li_C_is_aromatic,Li_C_degree,Li_C_hybridization_sp2,Li_C_hybridization_sp3,Li_C_ewg_neighbors,has_ester,has_nitrile,has_epoxide
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,20.96,184.164,14,1,26.3,1.4357,1,0,6,3,0,2,0,0,0,0,1,1,1,3,1,0,0,1,0,0
oxiranyllithium,[Li]C1CO1,43.4,49.986,4,0,12.53,-0.4888000000000001,0,1,0,2,0,1,0,0,0,0,1,1,0,3,0,1,1,0,0,1
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],82.19,162.94299999999998,8,0,0.0,1.2428999999999997,1,0,6,2,0,0,1,0,1,0,1,1,1,3,1,0,0,0,0,0
"(I, Li substituents on benzene ring)",Ic1ccccc1[Li],79.51,209.943,8,0,0.0,1.0849999999999997,1,0,6,2,0,0,1,0,0,1,1,1,1,3,1,0,0,0,0,0
"CHLi(I)(F) (iodofluoromethyllithium), lifetime 82 ms at -40 °C",[Li]C(F)I,19.95,165.862,4,0,0.0,0.843,0,0,0,3,0,0,2,1,0,1,1,1,0,3,0,1,2,0,0,0
"Li-CH2-F (fluoromethyllithium), lifetime 13 ms at -60 °C",[Li]CF,51.02,39.965999999999994,3,0,0.0,0.08189999999999997,0,0,0,2,0,0,1,1,0,0,1,1,0,2,0,1,1,0,0,0
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],6.46,184.164,14,1,26.3,1.4357,1,0,6,3,0,2,0,0,0,0,1,1,1,3,1,0,0,1,0,0
chloroiodomethyllithium (CHLi(I)(Cl)),[Li]C(Cl)I,25.0,182.317,4,0,0.0,1.1122999999999998,0,0,0,3,0,0,2,0,0,1,1,1,0,3,0,1,2,0,0,0
p-lithiobenzonitrile (from 1c),N#Cc1ccc([Li])cc1,6.42,109.05699999999997,9,0,23.79,0.35207999999999995,1,0,6,2,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,0
m-lithiobenzonitrile (from 1b),N#Cc1cccc([Li])c1,4.71,109.05699999999997,9,0,23.79,0.35207999999999995,1,0,6,2,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,0
aryllithium (then borylated to arylboronate),[Li]c1ccccc1,36.54,84.047,7,0,0.0,0.48040000000000005,1,0,6,1,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0
