intermediate,intermediate_smiles,Ea_actual_kJ_mol,Ea_predicted_loocv_kJ_mol,Ea_error_kJ_mol,t_half_m40C_s,arrhenius_r2,n_temperatures
tert-butyl 4-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccc([Li])cc1,20.96,9.66,-11.30,26.01,0.946,5
oxiranyllithium,[Li]C1CO1,43.40,19.91,-23.49,35.17,0.986,5
"(Br, Li substituents on benzene ring)",Brc1ccccc1[Li],82.19,53.46,-28.73,0.06701,0.964,4
"(I, Li substituents on benzene ring)",Ic1ccccc1[Li],79.51,54.48,-25.03,0.001082,0.944,4
"CHLi(I)(F) (iodofluoromethyllithium), lifetime 82 ms at -40 °C",[Li]C(F)I,19.95,37.21,17.26,0.7934,0.976,4
"Li-CH2-F (fluoromethyllithium), lifetime 13 ms at -60 °C",[Li]CF,51.02,45.38,-5.64,0.02237,0.974,4
tert-butyl o-(lithio)benzoate (aryllithium),CC(C)(C)OC(=O)c1ccccc1[Li],6.46,14.46,8.00,17.46,0.049,3
chloroiodomethyllithium (CHLi(I)(Cl)),[Li]C(Cl)I,25.00,34.04,9.04,8.555,0.991,3
p-lithiobenzonitrile (from 1c),N#Cc1ccc([Li])cc1,6.42,20.10,13.68,89.33,1.000,2
m-lithiobenzonitrile (from 1b),N#Cc1cccc([Li])c1,4.71,20.54,15.83,66.93,1.000,2
aryllithium (then borylated to arylboronate),[Li]c1ccccc1,36.54,70.84,34.30,22.36,1.000,2
