intermediate_smiles_canonical,electrophile,electrophile_smiles_canonical,T1_C,max_yield,name,product_smiles,n_points
[Li]/C=C/c1ccccc1,benzaldehyde,O=Cc1ccccc1,0.0,95.0,(E)-β-styryllithium,OC(/C=C/c1ccccc1)c1ccccc1,13
[Li]/C=C/c1ccccc1,benzaldehyde,O=Cc1ccccc1,20.0,94.0,(E)-β-styryllithium,OC(/C=C/c1ccccc1)c1ccccc1,5
[Li]C#Cc1c(C)cc(C)cc1C,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,20.0,95.0,lithium acetylide,Cc1cc(C)c(C#CC(=O)OC(C)(C)C)c(C)c1,1
[Li]C#Cc1ccc(N(C)C)cc1,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,20.0,95.0,lithium acetylide,CN(C)c1ccc(C#CC(=O)OC(C)(C)C)cc1,1
[Li]C#Cc1ccc(OC)c(OC)c1,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,20.0,75.0,lithium acetylide,COc1ccc(C#CC(=O)OC(C)(C)C)cc1OC,1
[Li]C#Cc1ccc(OC)cc1,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.0,70.0,lithium acetylide,COc1ccc(C#CC(=O)OC(C)(C)C)cc1,1
[Li]C#Cc1ccccc1,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.0,50.0,lithium acetylide,CC(C)(C)OC(=O)C#Cc1ccccc1,1
[Li]C#Cc1cccs1,di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.0,87.0,lithium acetylide,CC(C)(C)OC(=O)C#Cc1cccs1,1
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-78.0,80.0,tridecafluorohexyllithium,CCCC[Sn](CCCC)(CCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-68.0,87.0,tridecafluorohexyllithium,CCCC[Sn](CCCC)(CCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-58.0,72.0,tridecafluorohexyllithium,CCCC[Sn](CCCC)(CCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-48.0,47.0,tridecafluorohexyllithium,CCCC[Sn](CCCC)(CCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7
[Li]C(F)I,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-78.0,99.0,fluoroiodomethyllithium,CCCC[Sn](CCCC)(CCCC)C(F)I,5
[Li]C(F)I,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-60.0,91.0,fluoroiodomethyllithium,CCCC[Sn](CCCC)(CCCC)C(F)I,5
[Li]C(F)I,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-40.0,99.0,fluoroiodomethyllithium,CCCC[Sn](CCCC)(CCCC)C(F)I,5
[Li]C(F)I,chlorotributylstannane,CCCC[Sn](Cl)(CCCC)CCCC,-20.0,85.0,fluoroiodomethyllithium,CCCC[Sn](CCCC)(CCCC)C(F)I,5
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-78.0,96.0,oxiranyllithium,CC1OC1(C)c1ccccc1,14
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-68.0,67.0,oxiranyllithium,CC1OC1(C)c1ccccc1,7
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-58.0,96.0,oxiranyllithium,CC1OC1(C)c1ccccc1,14
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-48.0,94.0,oxiranyllithium,CC1OC1(C)c1ccccc1,13
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-38.0,96.0,oxiranyllithium,CC1OC1(C)c1ccccc1,14
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-28.0,92.0,oxiranyllithium,CC1OC1(C)c1ccccc1,9
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,-18.0,93.0,oxiranyllithium,CC1OC1(C)c1ccccc1,9
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,0.0,87.0,oxiranyllithium,CC1OC1(C)c1ccccc1,9
[Li]C1(C)OC1c1ccccc1,iodomethane,CI,24.0,65.0,oxiranyllithium,CC1OC1(C)c1ccccc1,6
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,chlorotrimethylsilane,C[Si](C)(C)Cl,-27.0,93.0,1-triphenylsilyloxiranyllithium,C[Si](C)(C)C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,6
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,chlorotrimethylsilane,C[Si](C)(C)Cl,-10.0,93.0,1-triphenylsilyloxiranyllithium,C[Si](C)(C)C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,6
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,chlorotrimethylsilane,C[Si](C)(C)Cl,0.0,92.0,1-triphenylsilyloxiranyllithium,C[Si](C)(C)C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,12
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,chlorotrimethylsilane,C[Si](C)(C)Cl,24.0,77.0,1-triphenylsilyloxiranyllithium,C[Si](C)(C)C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,12
[Li]C1(c2ccc(C)cc2)CO1,iodomethane,CI,-78.0,63.0,lithium 4-methylstyrene oxide,Cc1ccc(C2(C)CO2)cc1,7
[Li]C1(c2ccc(C)cc2)CO1,iodomethane,CI,-68.0,49.0,lithium 4-methylstyrene oxide,Cc1ccc(C2(C)CO2)cc1,7
