paper_id,data_source_type,scope_type,intermediate,intermediate_smiles_canonical,intermediate_class_master,electrophile,electrophile_smiles,elec_category,T1_C,tR1_s,tR2_s,yield_pct,Ea_kJ_mol,Ea_pred_kJ_mol,dft_charge_C_ipso,dft_LiC_bond_A,buried_vol_Li,dft_dipole_D,sterimol_B1,elec_mw,elec_logp,elec_tpsa,elec_n_heavy
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)(C)C,ArLi,tert-butyl alcohol,,protonation,0.0,0.01,,93.0,28.14,37.76,-0.2234,1.941,0.2984,3.66,1.9988,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)(C)C,ArLi,iodomethane,,alkylation,0.0,0.01,,88.0,28.14,37.76,-0.2234,1.941,0.2984,3.66,1.9988,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)(C)C,ArLi,chlorotrimethylsilane,,silylation,0.0,0.01,,96.0,28.14,37.76,-0.2234,1.941,0.2984,3.66,1.9988,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)(C)C,ArLi,benzaldehyde,,aldehyde,0.0,0.01,,82.0,28.14,37.76,-0.2234,1.941,0.2984,3.66,1.9988,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)C,ArLi,2-propanol,,protonation,-28.0,0.01,,87.0,40.71,42.0,-0.2219,1.9459,0.3474,3.45,1.9391,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)C,ArLi,iodomethane,,alkylation,-28.0,0.01,,62.0,40.71,42.0,-0.2219,1.9459,0.3474,3.45,1.9391,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)C,ArLi,methyl triflate,,alkylation,-28.0,0.01,,82.0,40.71,42.0,-0.2219,1.9459,0.3474,3.45,1.9391,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)C,ArLi,chlorotrimethylsilane,,silylation,-28.0,0.01,,93.0,40.71,42.0,-0.2219,1.9459,0.3474,3.45,1.9391,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC(C)C,ArLi,benzaldehyde,,aldehyde,-28.0,0.01,,66.0,40.71,42.0,-0.2219,1.9459,0.3474,3.45,1.9391,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,ethanol,,protonation,-48.0,0.06,,90.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,iodomethane,,alkylation,-48.0,0.06,,12.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,methyl triflate,,alkylation,-48.0,0.06,,62.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,chlorotrimethylsilane,,silylation,-48.0,0.06,,61.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,trimethylsilyl triflate,,silylation,-48.0,0.06,,79.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OCC,ArLi,benzaldehyde,,aldehyde,-48.0,0.06,,70.0,43.56,39.34,-0.2215,1.9448,0.3204,3.355,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC,ArLi,methanol,,protonation,-48.0,0.02,,74.0,39.61,37.04,-0.2207,1.9444,0.2981,3.182,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC,ArLi,methyl triflate,,alkylation,-48.0,0.02,,65.0,39.61,37.04,-0.2207,1.9444,0.2981,3.182,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC,ArLi,trimethylsilyl triflate,,silylation,-48.0,0.02,,82.0,39.61,37.04,-0.2207,1.9444,0.2981,3.182,1.82,,,,
AlkoxycarbonylArLi_2008_Nagaki,si_table_Table 2,scope_electrophile,alkyl o-lithiobenzoates,[Li]c1ccccc1C(=O)OC,ArLi,benzaldehyde,,aldehyde,-48.0,0.02,,85.0,39.61,37.04,-0.2207,1.9444,0.2981,3.182,1.82,,,,
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,N-methoxy-N-methyl-3-phenylpropanamide,O=C(N(OC)C)CCC1=CC=CC=C1,weinreb_amide,-60.0,0.013,7.86,70.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,193.24600000000004,1.6389999999999998,29.540000000000003,14.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,N-methoxy-N-methylcinnanamide,O=C(N(OC)C)/C=C/C1=CC=CC=C1,weinreb_amide,-60.0,0.013,7.86,80.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,191.23000000000002,1.7196,29.540000000000003,14.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,N-methoxy-N-methyl-2-phenylacetamide,O=C(N(OC)C)CC1=CC=CC=C1,weinreb_amide,-60.0,0.013,7.86,66.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,179.21900000000002,1.2489,29.540000000000003,13.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,N-methoxy-N-methyl-2-(thiophen-2-yl)acetamide,O=C(N(OC)C)CC1=CC=CS1,weinreb_amide,-60.0,0.013,7.86,68.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,185.24800000000002,1.3104,29.540000000000003,12.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,"N-methoxy-N-methyl-[1,1'-biphenyl]-4-carboxamide",O=C(N(OC)C)C1=CC=C(C2=CC=CC=C2)C=C1,weinreb_amide,-60.0,0.013,7.86,60.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,241.29000000000002,2.987000000000002,29.540000000000003,18.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,N-methoxy-N-methyl-2-phenylbutanamide,O=C(N(OC)C)C(CC)C1=CC=CC=C1,weinreb_amide,-60.0,0.013,7.86,60.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,207.273,2.2,29.540000000000003,15.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,3-fluoro-N-methoxy-N-methylbenzamide,O=C(N(OC)C)C1=CC(F)=CC=C1,weinreb_amide,-60.0,0.013,7.86,80.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,183.182,1.4591,29.540000000000003,13.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,4-(trifluoromethyl)-N-methoxy-N-methylbenzamide,O=C(N(OC)C)C1=CC=C(C(F)(F)F)C=C1,weinreb_amide,-60.0,0.013,7.86,75.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,233.18899999999996,2.3388,29.540000000000003,16.0
CHLiIF_2020_Nagaki,si_table_Table 1,scope_electrophile,fluoromethyllithium (2) or fluoroiodomethyllithium (3),[Li]CF,alkylLi,4-fluoro-N-methoxy-N-methylbenzamide,O=C(N(OC)C)C1=CC=C(F)C=C1,weinreb_amide,-60.0,0.013,7.86,77.0,49.17,44.91,-0.1694,1.9058,0.1875,4.287,1.82,183.182,1.4591,29.540000000000003,13.0
