,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_Ea_0,39.338,1.745,36.226,42.77,0.068,0.048,666.0,1414.0,1.01
beta_Ea[0],-0.949,1.774,-4.442,1.832,0.23,0.163,61.0,692.0,1.05
beta_Ea[1],3.297,2.253,-0.98,7.598,0.045,0.04,2426.0,3484.0,1.01
beta_lnA_0,18.954,0.981,17.194,20.805,0.036,0.025,750.0,1784.0,1.01
beta_lnA[0],-0.357,1.0,-2.067,1.41,0.14,0.1,53.0,351.0,1.05
beta_lnA[1],3.124,1.336,0.692,5.772,0.026,0.019,2645.0,3576.0,1.02
Ea[0],37.236,2.811,31.64,42.366,0.084,0.06,1076.0,2288.0,1.01
Ea[1],41.734,3.889,35.46,49.143,0.503,0.357,48.0,1138.0,1.06
Ea[2],38.805,2.933,33.538,44.682,0.108,0.077,758.0,2385.0,1.01
Ea[3],38.87,2.977,33.422,44.583,0.094,0.067,1050.0,1724.0,1.05
Ea[4],39.295,2.9,34.019,44.79,0.121,0.089,583.0,1752.0,1.01
Ea[5],39.973,3.296,34.151,46.083,0.294,0.208,120.0,1908.0,1.03
Ea[6],36.479,3.217,30.278,42.344,0.103,0.073,973.0,1583.0,1.06
Ea[7],39.569,2.917,34.21,45.192,0.144,0.105,450.0,2478.0,1.02
Ea[8],39.951,3.341,33.925,46.308,0.122,0.087,740.0,765.0,1.02
Ea[9],37.709,2.68,32.312,42.384,0.078,0.055,1205.0,3127.0,1.01
Ea[10],37.198,2.829,31.979,42.408,0.097,0.069,903.0,2847.0,1.01
Ea[11],37.156,2.798,31.737,42.116,0.116,0.082,661.0,2966.0,1.01
Ea[12],36.45,4.749,27.446,44.772,0.446,0.331,113.0,690.0,1.03
Ea[13],39.036,3.191,32.359,44.687,0.1,0.071,985.0,729.0,1.04
Ea[14],37.174,2.913,31.708,42.475,0.138,0.097,465.0,2023.0,1.01
Ea[15],36.84,3.012,30.953,41.99,0.205,0.145,225.0,2974.0,1.02
Ea[16],36.974,3.023,31.176,42.365,0.171,0.121,329.0,2325.0,1.02
Ea[17],39.056,3.026,34.038,45.03,0.265,0.188,143.0,2934.0,1.03
Ea[18],40.646,3.659,34.635,47.662,0.461,0.328,59.0,1958.0,1.05
Ea[19],40.028,3.248,34.358,46.074,0.389,0.276,71.0,2621.0,1.04
Ea[20],39.866,3.326,34.427,46.347,0.346,0.245,98.0,2347.0,1.03
Ea[21],55.989,10.658,35.99,76.295,0.483,0.371,533.0,3257.0,1.01
Ea[22],38.721,2.726,33.373,43.69,0.077,0.054,1248.0,826.0,1.05
lnA[0],20.755,1.651,17.548,23.707,0.077,0.054,408.0,2503.0,1.02
lnA[1],17.625,1.809,14.636,20.957,0.235,0.167,49.0,635.0,1.06
lnA[2],20.318,1.623,17.352,23.405,0.061,0.044,694.0,2253.0,1.01
lnA[3],19.269,1.646,16.299,22.427,0.052,0.037,1023.0,1758.0,1.02
lnA[4],19.568,1.603,16.689,22.612,0.066,0.047,592.0,1845.0,1.01
lnA[5],19.572,1.862,16.468,23.085,0.217,0.154,68.0,874.0,1.04
lnA[6],16.584,1.688,13.491,19.882,0.053,0.037,1026.0,1503.0,1.06
lnA[7],16.854,1.326,14.393,19.399,0.048,0.034,760.0,2532.0,1.01
lnA[8],16.081,1.529,13.324,19.188,0.056,0.04,732.0,815.0,1.02
lnA[9],18.545,1.378,15.885,21.084,0.037,0.026,1359.0,3344.0,1.02
lnA[10],20.099,1.559,17.126,22.954,0.045,0.032,1220.0,2785.0,1.01
lnA[11],19.437,1.457,16.613,21.951,0.106,0.075,190.0,3030.0,1.02
lnA[12],15.281,2.411,10.945,19.773,0.215,0.16,124.0,684.0,1.03
lnA[13],15.826,1.453,12.98,18.521,0.044,0.031,1051.0,832.0,1.02
lnA[14],18.279,1.486,15.48,20.945,0.049,0.035,943.0,2214.0,1.01
lnA[15],20.061,1.685,16.794,22.967,0.135,0.095,161.0,3123.0,1.02
lnA[16],19.404,1.557,16.55,22.273,0.095,0.067,274.0,958.0,1.02
lnA[17],20.286,1.585,17.458,23.35,0.093,0.068,315.0,2809.0,1.02
lnA[18],15.606,1.704,12.832,18.773,0.254,0.181,42.0,125.0,1.07
lnA[19],18.359,1.639,15.553,21.596,0.156,0.11,117.0,2637.0,1.03
lnA[20],19.39,1.673,16.558,22.64,0.14,0.099,158.0,2408.0,1.02
lnA[21],34.035,6.165,22.669,45.925,0.274,0.208,550.0,3331.0,1.01
lnA[22],15.049,1.297,12.679,17.647,0.035,0.025,1375.0,2730.0,1.03
sigma_Ea,2.365,1.497,0.155,4.835,0.235,0.167,24.0,12.0,1.12
sigma_lnA,2.281,0.587,1.32,3.469,0.019,0.013,1096.0,1696.0,1.01
sigma_obs,0.639,0.066,0.517,0.752,0.006,0.004,132.0,1865.0,1.03
