intermediate,intermediate_class,intermediate_smiles_canonical,dft_dipole_D,dft_Gsolv_kJ,dft_LiC_BDE_kJ,pred_Ea,pred_lnA,pred_t_half_m40,pred_log_t_half,obs_t_half
Vinyllithium,vinylLi,[Li]C(=C(c1ccccc1)c1ccc(OC)cc1)c1ccc(C#N)cc1,11.298,-109.72,429.0,-14.982517158173579,-14.520910194924213,617.1498561778931,2.790390632119037,
dilithiopyridine,ArLi,[Li]c1cccc([Li])n1,8.221,-96.11,366.9,6.501124007536674,-1.176955197715401,64.34681592878032,1.8085270615935793,
aryllithium,ArLi,[Li]c1ccc([N+](=O)[O-])cc1,12.377,-85.23,434.6,-12.37104148486435,-10.864165029854583,61.28854662653332,1.7873793227787604,
tert-butyl m-lithiobenzoate,ArLi,[Li]c1cccc(C(=O)OC(C)(C)C)c1,8.359,-95.12,409.5,6.092448417522348,-1.3195130321064497,60.10030246722738,1.778876657685223,
isopropyl m-lithiobenzoate,ArLi,[Li]c1cccc(C(=O)OC(C)C)c1,8.546,-93.78,410.7,5.538135805908382,-1.5131227253950925,54.79845023200764,1.7387682762726056,
tert-butyl p-lithiobenzoate,ArLi,[Li]c1ccc(C(=O)OC(C)(C)C)cc1,7.527,-95.56,411.6,10.473095599344731,1.1149241074451979,50.475927641293175,1.7030843091073626,4.817
isopropyl p-lithiobenzoate,ArLi,[Li]c1ccc(C(=O)OC(C)C)cc1,7.785,-94.33,412.7,9.493800158748655,0.6715359951468614,47.45011248113604,1.676237246265499,
acyl-substituted aryllithium,ArLi,[Li]c1ccc(C(=O)c2ccccc2)cc1,8.122,-92.1,413.4,8.430760311654382,0.26996159350684934,40.97019659181863,1.6124680478813136,
ethyl m-lithiobenzoate,ArLi,[Li]c1cccc(C(=O)OCC)c1,8.648,-90.76,411.3,6.029390253142964,-0.9666353098939453,40.878582335092965,1.6114958261011643,
acyl-substituted aryllithium,ArLi,[Li]c1ccc(C(=O)CCCC)cc1,8.864,-89.58,412.7,5.26159924778166,-1.29504725420081,38.20341213231929,1.5821021535938895,
acyl-substituted aryllithium,ArLi,[Li]c1ccc(C(=O)C2CCCCC2)cc1,8.732,-89.29,412.2,6.0813477920177945,-0.8063161196483222,35.76934686219721,1.5535110101312626,
"monolithiated 4,4'-dibromobiphenyl",ArLi,[Li]c1ccc(-c2ccc(Br)cc2)cc1,10.947,-83.58,410.9,-4.007579380169162,-5.994508415237426,35.182102635204515,1.5463217912209009,
ethyl p-lithiobenzoate,ArLi,[Li]c1ccc(C(=O)OCC)cc1,7.86,-89.24,413.2,10.849815352252818,1.8907735236950032,28.21889921558272,1.4505400684572225,
lithium acetylide,carbanion,[Li]C#Cc1ccc(OC)c(OC)c1,7.059,-90.53,514.2,14.766870387524989,3.98769498360447,26.149449472157606,1.4174625500399707,
dilithiopyridine,ArLi,[Li]c1cccnc1[Li],6.257,-92.48,381.3,18.460558035409477,5.899679082015915,25.98110058904499,1.414657544336126,
acyl-substituted aryllithium,ArLi,[Li]c1ccc(C(=O)CCCC)s1,6.292,-91.51,471.8,18.60614897442285,6.068319672083007,23.661215995742904,1.3740370601004863,
1-triphenylsilyloxiranyllithium,oxiranylLi,[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,5.214,-93.45,435.2,23.807102513719464,8.83231019635307,21.822704038500344,1.338908562761952,
methyl m-lithiobenzoate,ArLi,[Li]c1cccc(C(=O)OC)c1,8.509,-85.11,412.2,8.74554136687479,1.0705341713702339,21.64260352178213,1.3353095035293392,
acyl-substituted aryllithium,ArLi,[Li]c1ccc(C(=O)C(C)(C)C)cc1,8.225,-85.2,409.4,10.261726553640855,1.918666892006712,20.261270788331746,1.3066666808590244,
methyl p-lithiobenzoate,ArLi,[Li]c1ccc(C(=O)OC)cc1,7.987,-85.78,414.0,11.357400079748317,2.48568715823005,20.225307194894732,1.3058951266766197,
dilithiopyridine,ArLi,[Li]c1ccc([Li])nc1,2.759,-98.6,354.4,35.39782782919998,14.91842756401784,19.61584601130034,1.2926070435446304,
lithiobromopyridine,ArLi,[Li]c1ccc(Br)nc1,11.483,-74.01,423.5,-3.610169544926748,-4.91739404836423,14.70873735179505,1.1675753930073454,
"3,5-dibromophenyllithium",ArLi,[Li]c1cc(Br)cc(Br)c1,10.2,-77.2,438.2,2.2743726255983887,-1.878775703495485,14.666734769981751,1.166333438368248,
m-nitrophenyllithium,ArLi,[Li]c1cccc([N+](=O)[O-])c1,8.883,-80.38,436.7,8.347632303614773,1.2672977254999083,14.477910899879204,1.1607058995607076,
p-lithioacetophenone,ArLi,[Li]c1ccc(C(C)=O)cc1,9.086,-79.83,413.6,7.432257199649939,0.7994144127531584,14.415115222787199,1.158818118137385,
p-cyanophenyllithium,ArLi,[Li]c1ccc(C#N)cc1,10.704,-75.28,419.1,0.19395127163834047,-2.8824616795232814,13.680968316687704,1.1361168371290884,16.52
p-propanoylbenzyllithium,benzylLi,[Li]Cc1ccc(C(=O)CC)cc1,7.335,-83.09,361.2,15.842451028679108,5.257968025193108,12.78705249944086,1.1067704482510736,
3-lithio-2-methyl-5-phenylthiophene,ArLi,[Li]c1cc(-c2ccccc2)sc1C,7.805,-79.94,434.4,14.373709970093628,4.709278200444402,10.375202497139378,1.015996581772758,
p-formylbenzyllithium,benzylLi,[Li]Cc1ccc(C=O)cc1,8.455,-78.1,363.5,11.470065483369012,3.2336105144539573,10.146551654945121,1.0063184706549135,
"3-lithio-2,4-dimethyl-5-phenylthiophene",ArLi,[Li]c1c(C)sc(-c2ccccc2)c1C,7.763,-79.06,434.7,14.907636858387022,5.089183214707809,9.346103279013947,0.9706305758813211,
m-cyanophenyllithium,ArLi,[Li]c1cccc(C#N)c1,9.332,-74.72,418.4,7.863504665338695,1.4982407431333442,8.952438407521075,0.9519413417626068,11.9
aryllithium / heteroaryllithium,ArLi,[Li]c1ccc(C(F)(F)F)cc1C,10.433,-71.38,428.7,3.0226016777357927,-0.9376953071418441,8.419102338487836,0.9252657886227048,
aryllithium / heteroaryllithium,ArLi,[Li]c1ccc(C(F)(F)F)cc1,10.354,-70.19,425.7,3.8655989575655525,-0.3556443152888207,7.266999869712586,0.8613551524069514,
lithium acetylide,carbanion,[Li]C#Cc1ccc(OC)cc1,6.305,-79.82,517.8,22.58813342875561,9.358450223068758,6.875474100638207,0.8373026504574929,
oxiranyllithium intermediate,oxiranylLi,[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,5.491,-81.12,458.1,26.57255266746332,11.492519545386294,6.356012739076256,0.8031847589735072,
lithium acetylide,carbanion,[Li]C#Cc1c(C)cc(C)cc1C,6.452,-78.41,515.3,22.2760310554633,9.307847748158657,6.156777626189141,0.7893534677927093,
p-bromophenyllithium,ArLi,[Li]c1ccc(Br)cc1,10.151,-68.68,420.9,5.4951571295956825,0.6990706354366338,5.866724158810991,0.7683956690715369,
