smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]/C=C/c1ccccc1,(E)-β-styryllithium,other,0.0,0.000863431,-3.0637723628059375,13724.8,0.0979396,False,competing,-0.2663,1.8878,0.2219,418.5,-64.57000000000001,-8.721,2.7939999999999996,-0.095,1.82,6.1889,4.1078,145.03,5.664,0.3918
[Li]/C=C/c1ccccc1,(E)-β-styryllithium,other,20.0,0.0129432,-1.8879583380002316,763.567,0.0389876,False,competing,-0.2663,1.8878,0.2219,418.5,-64.57000000000001,-8.721,2.7939999999999996,-0.095,1.82,6.1889,4.1078,145.03,5.664,0.3918
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tridecafluorohexyllithium,other,-78.0,0.337379,-0.4718819533650172,15.7327,0.0800466,False,competing,0.0221,2.0188,0.3632,609.9,-46.89,-11.107,4.017999999999999,-0.1126,1.82,7.1142,4.2388,214.55,7.323,0.6088
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tridecafluorohexyllithium,other,-68.0,0.217115,-0.6633101710541477,19.9186,0.280237,False,competing,0.0221,2.0188,0.3632,609.9,-46.89,-11.107,4.017999999999999,-0.1126,1.82,7.1142,4.2388,214.55,7.323,0.6088
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tridecafluorohexyllithium,other,-58.0,0.177348,-0.7511737048174201,17.1075,0.979459,False,competing,0.0221,2.0188,0.3632,609.9,-46.89,-11.107,4.017999999999999,-0.1126,1.82,7.1142,4.2388,214.55,7.323,0.6088
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tridecafluorohexyllithium,other,-48.0,0.0140132,-1.8534626795856084,307.942,4.37529,False,competing,0.0221,2.0188,0.3632,609.9,-46.89,-11.107,4.017999999999999,-0.1126,1.82,7.1142,4.2388,214.55,7.323,0.6088
[Li]C(F)I,fluoroiodomethyllithium,other,-78.0,0.10968734992529501,-0.9598434560572576,85.0292,,True,formation_only,-0.1104,2.0024,0.3268,490.1,-53.33,-9.599,2.867,-0.052,1.82,4.2062,4.2224,97.09,5.961,0.5943
[Li]C(F)I,fluoroiodomethyllithium,other,-60.0,0.049839,-1.3024306802100194,175.573,0.0278491,False,competing,-0.1104,2.0024,0.3268,490.1,-53.33,-9.599,2.867,-0.052,1.82,4.2062,4.2224,97.09,5.961,0.5943
[Li]C(F)I,fluoroiodomethyllithium,other,-40.0,0.0395489,-1.402865591321138,136.639,0.630234,False,competing,-0.1104,2.0024,0.3268,490.1,-53.33,-9.599,2.867,-0.052,1.82,4.2062,4.2224,97.09,5.961,0.5943
[Li]C(F)I,fluoroiodomethyllithium,other,-20.0,0.0178307,-1.7488316068992444,272.06,2.21325,False,competing,-0.1104,2.0024,0.3268,490.1,-53.33,-9.599,2.867,-0.052,1.82,4.2062,4.2224,97.09,5.961,0.5943
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-78.0,7.5504567816052885,0.8779732260304917,0.582746,,True,formation_only,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-68.0,26.785055481430536,1.427892550289023,0.106126,,True,formation_only,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-58.0,3.9443395403207893,0.5959742932216595,1.31491,,True,formation_only,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-48.0,1.9801583857525644,0.2966999293056234,3.03393,,True,formation_only,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-38.0,1.79531,0.2541394499422963,2.67149,0.0230009,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-28.0,0.256795,-0.5904134365749504,28.7699,0.0178803,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,-18.0,0.148455,-0.8284051706793124,43.7339,0.0669078,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,0.0,0.0483405,-1.3156888618696605,101.783,0.770949,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,24.0,0.0306284,-1.5138756897530241,86.104,7.83193,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,1-triphenylsilyloxiranyllithium,oxiranylLi,-27.0,6.882710926858819,0.8377595296138178,0.655681,,True,formation_only,-0.2375,1.9299,0.3765,435.2000000000001,-93.45,-8.539,2.42,-0.0731,2.6715,7.4684,4.5803,322.98,5.214,0.5304
