smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li,stable
[Li]/C=C/c1ccccc1,(E)-β-styryllithium,other,0.0,0.000863431,-3.0637723628059375,13724.8,0.0979396,False,competing,-0.2663,1.8878,0.2219,418.5,-64.57000000000001,-8.721,2.7939999999999996,-0.095,1.82,6.1889,4.1078,145.03,5.664,0.3918,0
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tridecafluorohexyllithium,other,-48.0,0.0140132,-1.8534626795856084,307.942,4.37529,False,competing,0.0221,2.0188,0.3632,609.9,-46.89,-11.107,4.017999999999999,-0.1126,1.82,7.1142,4.2388,214.55,7.323,0.6088,0
[Li]C(F)I,fluoroiodomethyllithium,other,-20.0,0.0178307,-1.7488316068992444,272.06,2.21325,False,competing,-0.1104,2.0024,0.3268,490.1,-53.33,-9.599,2.867,-0.052,1.82,4.2062,4.2224,97.09,5.961,0.5943,0
[Li]C1(C)OC1c1ccccc1,oxiranyllithium,oxiranylLi,0.0,0.0483405,-1.3156888618696605,101.783,0.770949,False,competing,-0.1484,1.8798,0.2868,464.3,-67.46000000000001,-8.743,2.966,-0.094,1.82,6.0129,4.0998,169.23,4.5920000000000005,0.4921,0
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,1-triphenylsilyloxiranyllithium,oxiranylLi,0.0,2.15361,0.33316705913690664,2.85028,0.00623522,False,competing,-0.2375,1.9299,0.3765,435.2000000000001,-93.45,-8.539,2.42,-0.0731,2.6715,7.4684,4.5803,322.98,5.214,0.5304,0
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-38.0,0.00880427,-2.0553066474326265,633.477,2.44851,False,competing,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036,0
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-38.0,0.00961132,-2.0172169630756267,617.792,1.65577,False,competing,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001,0
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-38.0,0.00795009,-2.0996279548300545,797.406,1.42366,False,competing,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001,0
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-38.0,0.00860223,-2.0653889497852442,762.21,1.09299,False,competing,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727,0
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,0.0,0.000571956,-3.2426373797597754,18216.8,0.544003,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016,0
[Li]CF,fluoromethyllithium,other,-20.0,0.00010765,-3.967985965840494,54010.3,164.082,False,competing,-0.1694,1.9058,0.2315,473.8,-44.91,-8.825000000000001,3.3290000000000006,-0.0946,1.82,2.803,4.1258,67.85,4.287,0.4727,0
[Li]CSCc1ccccc1,lithium carbenoid,other,-20.0,0.000918553,-3.0368957800838383,11585.8,0.276831,False,competing,-0.223,1.9412,0.3142,370.4,-68.34,-8.444,2.2190000000000003,0.0127,1.82,8.8104,4.6735,168.01,5.300000000000001,0.4641,0
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,0.0,0.000185577,-3.7314758502726058,77753.0,0.0420919,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906,0
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,0.0,5.08339e-05,-4.293846569748306,217468.0,3.43925,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001,0
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",oxiranylLi,0.0,0.0332578,-1.478106482701012,246.174,0.0686402,False,competing,-0.1426,1.9055,0.3176,451.6,-76.05,-8.807,2.7760000000000007,-0.0764,1.82,5.7256,4.1255,224.7,5.307,0.5059,0
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,lithiated 1-tert-butylsulfonyl-2-phenylaziridine,other,-18.0,0.665457,-0.17688000219691166,6.62547,0.0853269,False,competing,-0.168,2.0174000000000003,0.4385,580.6,-79.93,-8.871,3.2920000000000007,-0.0966,2.616,6.8153,4.5793,253.32,4.993,0.5537000000000001,0
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranyllithium intermediate,oxiranylLi,0.0,1.34868,0.12990891726267792,5.49824,0.00332453,False,competing,-0.146,1.8958,0.3381,458.1,-81.12,-8.719,2.868999999999999,-0.0785,2.3051,5.9918,4.1158,239.79,5.4910000000000005,0.4872,0
[Li]c1c(C)oc2ccccc12,2-methylbenzofuran-3-yllithium,m+p ArLi,0.0,0.0527512,-1.2777676564577471,85.7055,0.981809,False,competing,-0.2851,1.875,0.2876,459.9,-69.10000000000001,-9.14,3.3920000000000003,-0.0736,1.82,6.1123,4.095,159.5,5.627,0.4184,0
[Li]c1c(C)sc(-c2ccccc2)c1C,"3-lithio-2,4-dimethyl-5-phenylthiophene",o-ArLi,0.0,0.17738080101294207,-0.7510933882548997,49.5367,,True,formation_only,-0.2626,1.9007,0.2885,434.7000000000001,-79.06,-8.98,2.9220000000000006,-0.057,2.21,6.6886,4.1207,212.4,7.763,0.4156,1
[Li]c1c(C)sc2ccccc12,3-lithio-2-methylbenzothiophene,o-ArLi,0.0,0.203239,-0.6919929506223518,19.7789,0.383973,False,competing,-0.257,1.8887,0.2978,444.5,-68.92,-9.195,3.2090000000000005,-0.0696,1.8798,6.2543,4.1087,167.58,6.635,0.4283,0
[Li]c1cc(-c2ccccc2)sc1C,3-lithio-2-methyl-5-phenylthiophene,o-ArLi,0.0,0.07677894385376259,-1.1147578661914934,126.661,,True,formation_only,-0.2532,1.8999,0.2531,434.4,-79.94,-9.082,2.8290000000000006,-0.061,1.8497,6.2496,4.1199,196.0,7.805000000000001,0.4182,1
[Li]c1cc(Br)cc(Br)c1,"3,5-dibromophenyllithium",m+p ArLi,0.0,0.44588,-0.35078200754372857,9.87069,0.128167,False,competing,-0.2274,1.9204,0.229,438.2000000000001,-77.2,-9.757,3.308,-0.1049,1.8501,4.6858,4.1404,157.66,10.2,0.4687,0
[Li]c1ccc(-c2ccc(Br)cc2)cc1,"monolithiated 4,4'-dibromobiphenyl",o-ArLi,0.0,0.01122651890490082,-1.9497548879735696,1055.02,,True,formation_only,-0.2294,1.9059,0.2298,410.9,-83.58,-8.9,2.407,-0.0945,2.1116,3.2391,4.1259,209.25,10.947,0.413,1
[Li]c1ccc(Br)cc1,p-bromophenyllithium,m+p ArLi,0.0,0.014553445468584626,-1.8370341770662,794.343,,True,formation_only,-0.2311,1.9095,0.2295,420.9,-68.68,-9.158,3.252,-0.1157,1.85,3.2403,4.1295,137.58,10.151,0.4279,1
[Li]c1ccc(C#N)cc1,p-cyanophenyllithium,m+p ArLi,0.0,0.000104302,-3.981707363858837,136305.0,0.0912416,False,competing,-0.2239,1.9132,0.2292,419.1,-75.28,-9.157,2.667,-0.1141,1.82,3.2413,4.1332,135.64,10.704,0.4272,0
[Li]c1ccc(C(=O)OC(C)(C)C)cc1,tert-butyl p-lithiobenzoate,m+p ArLi,0.0,0.000471918,-3.326133457385621,25877.6,0.128615,False,competing,-0.2235,1.907,0.2299,411.6,-95.56,-8.885,2.486999999999999,-0.0964,2.4115,4.4076,4.127,214.23,7.527,0.421,0
[Li]c1ccc(C(=O)OC(C)C)cc1,isopropyl p-lithiobenzoate,m+p ArLi,0.0,0.00150865,-2.8214115029012268,4449.47,5.45253,False,competing,-0.2231,1.9067,0.2299,412.7000000000001,-94.33,-8.923,2.4669999999999996,-0.102,1.9444,4.3915,4.1267,197.34,7.785,0.423,0
[Li]c1ccc(C(=O)OC)cc1,methyl p-lithiobenzoate,m+p ArLi,-28.0,0.0173867,-1.7597828393768078,198.283,7.14516,False,competing,-0.2226,1.9047,0.2302,414.0,-85.78,-8.971,2.4299999999999997,-0.1073,1.8797,3.3171,4.1247,163.24,7.987,0.4254,0
