intermediate,intermediate_smiles,n_temperatures,Ea_tpeak_kJ,lnA_tpeak,tpeak_arr_r2,tpeak_m78C_s,tpeak_m40C_s,tpeak_0C_s
p-cyanophenyllithium,[Li]c1ccc(C#N)cc1,2,-120.0,43.6713,1.0,0.0,0.0,0.0001
(E)-β-styryllithium,[Li]/C=C/c1ccccc1,2,-90.12,32.6293,1.0,0.0,0.0,0.0009
ethyl m-lithiobenzoate,[Li]c1cccc(C(=O)OCC)c1,4,-28.9,7.6628,0.3437,0.0,0.0007,0.0063
methyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC)cc1,4,-21.62,5.497,0.4705,0.0004,0.0035,0.0179
m-nitrophenyllithium,[Li]c1cccc([N+](=O)[O-])c1,3,-17.62,3.568,0.9579,0.0007,0.004,0.0151
fluoromethyllithium,[Li]CF,4,-7.1,-3.5785,0.0385,0.0004,0.0007,0.0012
isopropyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)C)c1,5,-6.87,-2.4471,0.0706,0.0013,0.0025,0.0042
p-propanoylbenzyllithium,[Li]Cc1ccc(C(=O)CC)cc1,5,-3.21,-7.0146,0.0847,0.0001,0.0002,0.0002
ethyl p-lithiobenzoate,[Li]c1ccc(C(=O)OCC)cc1,4,-1.22,-5.1806,0.0024,0.0026,0.003,0.0033
p-formylbenzyllithium,[Li]Cc1ccc(C=O)cc1,5,7.33,-12.8618,0.7857,0.0002,0.0001,0.0001
methyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC)c1,4,8.23,-10.0561,0.0236,0.0068,0.003,0.0016
isopropyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)C)cc1,4,8.26,-10.0543,0.6885,0.007,0.003,0.0016
fluoroiodomethyllithium,[Li]C(F)I,3,11.32,-9.2868,0.8779,0.0992,0.0318,0.0135
"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,2,11.9,-8.6434,1.0,0.2701,0.0817,0.0333
tert-butyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)(C)C)cc1,3,15.98,-13.4756,0.2701,0.0266,0.0053,0.0016
"2,3-dibromo-4-lithiopyridine",[Li]c1ccnc(Br)c1Br,4,16.29,-13.2861,0.3267,0.039,0.0076,0.0022
3-(oxiran-2-yl)propyllithium,[Li]CCCC1CO1,5,21.48,-16.632,0.7133,0.0337,0.0039,0.0008
methyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC,5,24.43,-18.1514,0.3025,0.0452,0.0039,0.0006
isopropyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)C,4,33.44,-20.5614,0.9265,1.0486,0.0365,0.0029
ethyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OCC,4,34.36,-21.8145,0.7504,0.5292,0.0168,0.0013
tridecafluorohexyllithium,[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,34.84,-22.1486,0.7365,0.5082,0.0154,0.0011
oxiranyllithium,[Li]C1(C)OC1c1ccccc1,5,35.71,-18.4006,0.8827,36.9932,1.0235,0.0689
3-lithio-2-methylbenzothiophene,[Li]c1c(C)sc2ccccc12,2,37.51,-18.1116,1.0,149.7312,3.4575,0.2032
tert-butyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)(C)C)c1,3,38.99,-23.2717,0.3164,2.138,0.0426,0.0022
2-iodophenyllithium,[Li]c1ccccc1I,4,42.39,-29.6557,0.6175,0.0294,0.0004,0.0
lithiated 1-tert-butylsulfonyl-2-phenylaziridine,[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,2,42.59,-20.483,1.0,318.9715,4.4241,0.1772
p-nitrophenyllithium,[Li]c1ccc([N+](=O)[O-])cc1,4,46.73,-30.449,0.4403,0.1928,0.0018,0.0001
lithium carbenoid,[Li]CSCc1ccccc1,2,47.42,-29.5256,1.0,0.744,0.0063,0.0002
2-methylbenzofuran-3-yllithium,[Li]c1c(C)oc2ccccc12,3,50.41,-25.9106,0.9132,174.1549,1.1006,0.0244
o-bromophenyllithium,[Li]c1ccccc1Br,5,50.47,-31.5109,0.3883,0.668,0.0042,0.0001
lithium oxiranyl anion,[Li]C1(c2ccc(Cl)cc2)CO1,4,60.04,-34.2773,0.7583,15.3434,0.0368,0.0004
lithiated 2-(2-naphthyl)ethylene oxide,[Li]C1(c2ccc3ccccc3c2)CO1,4,68.36,-38.7139,0.8005,30.5386,0.0318,0.0002
oxiranyllithium intermediate,[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,2,74.4,-32.4627,1.0,655908.5977,372.3568,1.3487
m-cyanophenyllithium,[Li]c1cccc(C#N)c1,2,76.78,-37.0863,1.0,27946.0124,12.4892,0.0378
tert-butyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)(C)C,3,76.87,-39.4839,0.7837,2688.009,1.1903,0.0036
lithium oxiranyl anion,[Li]C1OC1c1ccccc1,4,80.42,-44.6841,0.8185,132.2165,0.041,0.0001
lithium 4-methylstyrene oxide,[Li]C1(c2ccc(C)cc2)CO1,4,91.65,-51.9384,0.9265,94.7485,0.0095,0.0
1-triphenylsilyloxiranyllithium,[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,2,91.99,-39.7395,1.0,23146520.1236,2245.3225,2.1536
